gender,race_ethnicity,parental_education,lunch,test_prep,reading_score,writing_score,math_score,grade
male,group C,high school,standard,none,100,93,78,B
male,group A,bachelor's,standard,completed,63,90,61,C
male,group D,master's,standard,completed,98,81,73,B
male,group B,some college,free/reduced,none,66,71,38,F
male,group A,bachelor's,standard,none,49,70,44,D
male,group C,master's,standard,none,65,81,63,C
male,group A,bachelor's,standard,completed,85,64,65,C
male,group B,high school,standard,none,57,41,34,F
female,group D,doctorate,free/reduced,completed,60,77,43,D
female,group A,some college,standard,completed,78,53,61,C
male,group D,high school,free/reduced,none,70,55,35,F
female,group A,some high school,free/reduced,completed,78,70,57,C
female,group B,some college,standard,completed,73,68,60,C
male,group D,high school,standard,none,77,48,53,D
female,group B,high school,standard,none,63,72,51,D
female,group B,high school,free/reduced,completed,73,84,60,C
male,group C,bachelor's,standard,completed,56,53,52,D
male,group B,master's,standard,none,89,89,81,B
female,group D,high school,standard,none,60,46,45,D
female,group B,master's,free/reduced,none,86,100,63,C
male,group D,master's,standard,completed,66,63,57,C
male,group D,bachelor's,standard,none,73,72,52,D
male,group C,high school,standard,none,62,41,33,F
female,group E,associate's,standard,completed,54,69,51,D
female,group C,master's,free/reduced,none,43,73,31,F
male,group E,associate's,standard,completed,54,68,58,C
male,group B,high school,free/reduced,none,65,61,33,F
female,group D,some college,free/reduced,completed,73,55,57,C
male,group C,associate's,standard,none,85,86,70,B
male,group C,some college,free/reduced,completed,63,70,51,D
female,group C,high school,standard,completed,56,93,65,C
female,group D,high school,standard,none,48,62,38,F
female,group A,bachelor's,free/reduced,none,77,63,47,D
female,group B,master's,standard,none,90,82,73,B
male,group D,high school,standard,none,88,45,46,D
male,group C,doctorate,standard,completed,80,51,49,D
female,group E,high school,free/reduced,completed,79,86,68,C
male,group D,associate's,standard,none,95,52,58,C
male,group E,bachelor's,standard,completed,74,42,45,D
male,group D,bachelor's,standard,completed,79,98,72,B
male,group B,master's,free/reduced,completed,65,49,38,F
male,group B,high school,free/reduced,none,49,72,34,F
male,group D,master's,standard,none,59,71,48,D
male,group C,high school,free/reduced,none,69,27,26,F
male,group A,bachelor's,standard,none,70,65,48,D
female,group C,bachelor's,standard,none,98,76,63,C
female,group E,associate's,free/reduced,none,71,75,47,D
female,group C,high school,free/reduced,none,87,83,59,C
female,group C,master's,free/reduced,completed,63,64,46,D
female,group C,high school,free/reduced,none,65,80,54,D
male,group B,some high school,standard,none,50,59,44,D
female,group C,bachelor's,free/reduced,none,58,48,22,F
female,group C,some college,standard,none,77,50,51,D
female,group A,bachelor's,standard,none,70,48,48,D
male,group D,some college,standard,none,84,85,62,C
male,group C,high school,standard,none,72,47,36,F
male,group D,bachelor's,standard,none,64,74,53,D
male,group D,some college,standard,none,100,66,64,C
female,group B,high school,standard,none,68,68,45,D
female,group C,bachelor's,standard,completed,87,90,68,C
male,group C,some college,standard,none,63,63,47,D
female,group D,associate's,standard,none,80,79,60,C
female,group B,some college,standard,none,83,70,56,C
male,group C,bachelor's,free/reduced,none,73,67,45,D
male,group C,bachelor's,free/reduced,none,34,100,36,F
male,group B,bachelor's,free/reduced,none,70,48,34,F
male,group B,high school,standard,completed,88,89,79,B
male,group C,bachelor's,free/reduced,none,77,79,50,D
male,group D,associate's,standard,none,76,62,43,D
male,group B,associate's,standard,completed,44,94,58,C
male,group C,some college,standard,completed,59,42,39,F
female,group C,master's,free/reduced,none,76,62,46,D
male,group D,bachelor's,standard,none,76,51,50,D
female,group B,high school,standard,none,88,76,53,D
male,group D,some college,standard,none,67,53,50,D
female,group B,master's,free/reduced,none,76,76,44,D
male,group C,some high school,standard,none,70,67,62,C
male,group A,doctorate,standard,completed,55,62,52,D
female,group B,associate's,standard,none,36,75,34,F
female,group C,associate's,standard,none,76,65,47,D
female,group B,high school,free/reduced,none,72,53,42,D
male,group D,high school,standard,completed,60,100,67,C
male,group A,master's,free/reduced,none,45,62,32,F
female,group C,high school,standard,completed,79,36,61,C
female,group C,bachelor's,free/reduced,none,66,57,35,F
female,group A,some college,standard,none,78,50,49,D
female,group B,high school,standard,none,97,82,78,B
male,group C,some high school,standard,none,37,74,44,D
female,group C,some college,standard,none,59,75,41,D
male,group C,doctorate,standard,none,66,64,53,D
male,group C,some college,free/reduced,none,91,65,45,D
male,group C,some college,standard,completed,45,64,58,C
female,group A,high school,free/reduced,none,99,68,51,D
male,group C,some college,free/reduced,none,72,82,69,C
male,group E,some college,standard,none,68,75,64,C
female,group C,master's,free/reduced,completed,67,77,50,D
male,group C,some college,free/reduced,completed,63,77,54,D
female,group B,some college,standard,none,85,83,69,C
male,group D,high school,free/reduced,none,53,74,45,D
female,group D,doctorate,standard,none,75,75,60,C
female,group C,high school,standard,completed,64,87,73,B
male,group E,some high school,free/reduced,completed,58,60,44,D
male,group B,associate's,standard,none,100,57,58,C
male,group A,associate's,standard,none,76,52,47,D
male,group D,some college,standard,none,79,72,63,C
female,group D,some college,free/reduced,none,87,42,43,D
male,group B,bachelor's,free/reduced,completed,48,76,49,D
female,group B,high school,standard,none,96,68,68,C
male,group A,bachelor's,free/reduced,none,32,87,25,F
female,group B,associate's,free/reduced,completed,58,59,46,D
female,group D,some college,standard,completed,63,66,58,C
female,group C,some college,standard,none,78,86,73,B
male,group C,high school,free/reduced,completed,73,90,54,D
male,group C,bachelor's,free/reduced,none,67,59,49,D
male,group A,some college,free/reduced,completed,69,72,54,D
female,group B,high school,standard,completed,55,74,60,C
female,group C,associate's,standard,none,47,75,56,C
female,group E,doctorate,standard,completed,80,66,67,C
male,group D,some college,standard,completed,80,89,76,B
female,group A,master's,standard,none,93,41,53,D
female,group D,high school,free/reduced,none,58,63,35,F
male,group D,some high school,standard,completed,80,76,68,C
male,group D,high school,free/reduced,none,65,76,42,D
female,group C,some college,standard,none,87,90,68,C
female,group C,high school,standard,completed,85,87,60,C
female,group B,some high school,standard,completed,73,65,63,C
male,group A,master's,standard,none,64,89,58,C
female,group B,bachelor's,standard,none,84,59,53,D
male,group B,bachelor's,free/reduced,none,79,83,56,C
male,group C,high school,free/reduced,none,59,97,43,D
male,group D,high school,standard,none,50,88,64,C
female,group C,some high school,standard,completed,65,71,59,C
female,group A,bachelor's,free/reduced,none,92,65,51,D
female,group E,master's,standard,none,87,47,45,D
male,group E,some college,standard,none,53,74,48,D
female,group D,high school,standard,completed,52,53,56,C
male,group E,some college,free/reduced,none,89,58,55,C
female,group C,high school,standard,none,52,52,44,D
male,group E,some college,standard,none,77,63,57,C
male,group A,associate's,free/reduced,none,60,69,39,F
male,group C,bachelor's,standard,none,94,74,56,C
male,group B,high school,standard,none,58,60,43,D
female,group B,some high school,standard,none,87,86,65,C
female,group B,doctorate,free/reduced,none,72,66,51,D
male,group C,high school,standard,none,73,58,52,D
female,group D,some high school,free/reduced,none,40,73,44,D
male,group C,high school,free/reduced,none,36,99,51,D
female,group B,some high school,standard,none,66,75,51,D
female,group D,some college,free/reduced,none,73,64,34,F
female,group C,bachelor's,standard,none,53,47,46,D
male,group C,high school,standard,completed,53,66,61,C
female,group C,some college,standard,none,78,73,50,D
female,group B,associate's,standard,none,78,64,63,C
male,group C,some college,standard,none,67,45,45,D
male,group E,master's,standard,completed,81,57,62,C
female,group B,master's,standard,completed,52,91,72,B
female,group C,some high school,free/reduced,none,64,91,60,C
female,group D,bachelor's,standard,none,94,56,61,C
female,group D,some college,free/reduced,none,71,80,53,D
female,group A,doctorate,standard,none,71,52,50,D
male,group B,some college,standard,none,100,91,71,B
male,group A,doctorate,standard,completed,49,73,54,D
male,group C,bachelor's,standard,none,81,84,58,C
female,group C,high school,standard,completed,94,44,59,C
male,group B,some college,free/reduced,none,65,80,45,D
female,group E,doctorate,free/reduced,completed,82,69,54,D
female,group C,master's,free/reduced,completed,55,82,53,D
female,group B,some high school,standard,none,59,83,52,D
male,group C,bachelor's,free/reduced,none,75,70,51,D
female,group C,high school,standard,none,81,60,44,D
male,group A,some high school,standard,none,86,81,64,C
female,group B,some college,free/reduced,none,93,69,55,C
male,group D,high school,standard,none,68,56,45,D
male,group C,bachelor's,standard,none,87,56,54,D
female,group C,high school,standard,completed,64,47,40,D
male,group C,bachelor's,standard,none,83,62,58,C
male,group A,some high school,free/reduced,completed,73,86,65,C
female,group B,high school,standard,none,76,72,60,C
female,group C,high school,free/reduced,completed,76,62,59,C
female,group B,high school,standard,none,45,82,50,D
female,group A,some high school,standard,none,53,57,44,D
female,group D,high school,standard,completed,71,71,63,C
male,group E,associate's,standard,none,44,67,46,D
male,group D,high school,standard,completed,82,81,61,C
male,group D,some college,free/reduced,none,83,46,36,F
female,group B,some college,free/reduced,none,74,57,51,D
female,group E,master's,free/reduced,none,53,45,14,F
male,group B,master's,free/reduced,completed,90,66,59,C
male,group E,some college,free/reduced,none,100,88,72,B
female,group E,high school,standard,completed,72,62,59,C
male,group D,high school,free/reduced,completed,77,62,51,D
female,group E,doctorate,standard,none,73,83,61,C
female,group C,some high school,standard,none,77,86,61,C
female,group B,high school,standard,completed,68,68,60,C
male,group C,high school,standard,none,69,80,53,D
female,group C,high school,standard,none,83,53,59,C
female,group A,high school,free/reduced,none,100,90,74,B
female,group C,bachelor's,standard,none,48,100,56,C
female,group E,high school,standard,none,68,77,47,D
female,group B,associate's,standard,none,52,38,30,F
female,group D,high school,standard,completed,93,61,66,C
male,group E,some high school,standard,none,61,79,57,C
female,group E,master's,standard,none,48,63,36,F
female,group E,high school,standard,completed,79,89,68,C
male,group C,bachelor's,standard,completed,96,78,78,B
female,group E,some college,free/reduced,completed,79,59,58,C
female,group D,some high school,free/reduced,none,73,70,43,D
female,group B,doctorate,standard,completed,76,56,50,D
male,group C,high school,standard,none,91,67,80,B
male,group D,master's,standard,none,56,61,49,D
female,group B,high school,free/reduced,none,68,87,50,D
female,group C,master's,standard,none,63,100,68,C
male,group C,some high school,standard,completed,52,48,45,D
female,group B,some college,free/reduced,none,65,41,37,F
female,group C,bachelor's,standard,completed,86,66,67,C
female,group D,master's,standard,completed,78,47,56,C
female,group C,master's,standard,none,79,70,56,C
male,group A,bachelor's,free/reduced,none,72,81,42,D
male,group A,master's,free/reduced,none,77,92,69,C
male,group C,high school,free/reduced,none,57,73,36,F
female,group E,high school,standard,none,65,67,42,D
male,group B,high school,standard,completed,72,40,49,D
male,group C,some college,free/reduced,none,74,70,41,D
male,group B,some college,free/reduced,none,74,71,47,D
female,group B,some college,standard,completed,67,79,68,C
female,group D,high school,free/reduced,none,64,59,45,D
male,group D,associate's,standard,completed,100,63,76,B
male,group B,high school,standard,none,83,47,48,D
female,group C,high school,free/reduced,none,76,35,34,F
male,group A,some college,standard,none,66,53,48,D
male,group C,bachelor's,free/reduced,none,63,46,23,F
male,group C,bachelor's,standard,none,68,75,58,C
male,group B,associate's,standard,completed,74,62,51,D
male,group B,high school,free/reduced,none,41,61,43,D
female,group C,some college,free/reduced,completed,46,55,35,F
male,group E,some high school,standard,none,60,21,29,F
female,group E,some college,standard,none,73,92,59,C
male,group A,some college,standard,none,66,54,42,D
female,group D,some high school,standard,completed,92,63,81,B
female,group C,high school,free/reduced,none,47,48,33,F
male,group C,doctorate,free/reduced,none,58,84,37,F
female,group D,doctorate,standard,completed,92,72,80,B
male,group E,some college,standard,none,71,57,56,C
female,group E,some high school,standard,completed,83,64,63,C
male,group C,high school,free/reduced,none,100,95,69,C
male,group C,some college,standard,completed,59,68,56,C
male,group D,master's,standard,completed,68,67,71,B
female,group B,high school,standard,completed,65,55,49,D
female,group C,bachelor's,standard,none,40,41,31,F
female,group C,high school,standard,none,65,67,48,D
male,group C,doctorate,standard,completed,83,74,60,C
female,group B,some college,free/reduced,none,78,86,68,C
male,group B,bachelor's,free/reduced,none,79,36,28,F
female,group E,high school,free/reduced,completed,64,53,46,D
male,group B,associate's,standard,none,60,61,35,F
male,group C,high school,standard,none,89,69,58,C
male,group B,high school,standard,none,62,67,52,D
male,group A,master's,standard,none,74,68,49,D
female,group A,master's,free/reduced,none,72,76,52,D
male,group B,master's,standard,completed,91,56,63,C
female,group D,associate's,standard,none,84,84,72,B
male,group B,bachelor's,free/reduced,completed,50,76,56,C
female,group E,some high school,free/reduced,completed,52,65,41,D
male,group C,high school,standard,completed,78,94,75,B
male,group C,high school,standard,none,69,93,63,C
female,group C,associate's,standard,completed,63,83,68,C
male,group C,some college,standard,none,85,24,41,D
male,group D,high school,standard,none,72,93,65,C
female,group B,associate's,standard,completed,70,81,64,C
female,group C,bachelor's,free/reduced,none,81,100,63,C
male,group D,some college,standard,completed,64,88,74,B
male,group E,high school,standard,none,93,93,76,B
female,group D,high school,standard,completed,58,83,66,C
male,group C,high school,standard,none,79,90,69,C
male,group D,high school,free/reduced,completed,91,99,73,B
male,group C,associate's,standard,none,49,73,48,D
female,group C,associate's,standard,none,64,46,35,F
female,group B,associate's,standard,none,87,65,66,C
male,group C,some college,free/reduced,none,87,75,38,F
male,group B,bachelor's,standard,none,67,71,52,D
male,group C,high school,free/reduced,none,58,51,40,D
female,group D,some college,standard,none,84,45,41,D
male,group B,bachelor's,standard,none,87,58,58,C
male,group A,high school,standard,none,52,82,47,D
female,group A,high school,free/reduced,completed,51,93,53,D
male,group E,master's,free/reduced,completed,73,83,66,C
female,group C,high school,standard,completed,79,85,72,B
male,group C,associate's,standard,completed,65,68,46,D
male,group D,some high school,standard,none,80,43,41,D
male,group D,associate's,standard,none,59,63,52,D
female,group C,high school,standard,none,38,66,42,D
female,group D,some high school,free/reduced,completed,63,62,58,C
female,group D,associate's,free/reduced,completed,70,70,64,C
male,group C,high school,standard,none,65,76,52,D
female,group B,some college,standard,none,52,82,66,C
male,group D,some high school,free/reduced,none,42,65,32,F
male,group C,high school,free/reduced,none,62,41,25,F
female,group B,high school,standard,none,83,62,52,D
male,group C,some high school,standard,none,88,70,47,D
male,group A,master's,standard,completed,87,88,85,A
male,group B,some high school,standard,none,57,61,54,D
male,group D,some college,standard,completed,52,77,51,D
male,group A,high school,standard,completed,77,74,65,C
female,group C,high school,standard,completed,79,70,66,C
male,group C,master's,standard,completed,76,83,63,C
female,group A,high school,standard,completed,39,60,35,F
female,group E,doctorate,standard,completed,56,61,51,D
male,group B,high school,free/reduced,completed,69,69,51,D
male,group B,bachelor's,free/reduced,none,77,60,42,D
male,group B,some college,standard,completed,81,77,70,B
female,group B,master's,standard,completed,72,59,66,C
male,group A,associate's,free/reduced,completed,74,73,54,D
female,group D,some college,standard,completed,71,68,62,C
male,group E,high school,standard,none,80,73,63,C
female,group B,high school,standard,none,74,63,56,C
male,group C,master's,standard,none,70,64,47,D
male,group D,high school,standard,none,65,71,52,D
female,group D,some college,free/reduced,completed,71,73,58,C
female,group C,bachelor's,standard,none,77,69,49,D
male,group B,high school,standard,none,74,95,73,B
female,group B,doctorate,free/reduced,none,75,55,50,D
female,group D,bachelor's,standard,none,90,69,57,C
female,group D,associate's,standard,completed,73,46,54,D
female,group B,master's,standard,completed,60,75,63,C
male,group C,some high school,standard,none,83,53,49,D
male,group E,high school,standard,none,49,65,46,D
male,group D,some college,standard,none,53,64,45,D
female,group E,high school,standard,none,75,74,48,D
female,group D,bachelor's,free/reduced,none,77,61,47,D
male,group C,master's,standard,completed,51,61,44,D
male,group C,some college,standard,none,64,91,65,C
female,group C,high school,standard,none,60,74,47,D
female,group A,doctorate,standard,none,62,61,46,D
female,group C,some college,standard,completed,84,66,74,B
male,group D,some college,free/reduced,completed,80,94,70,B
male,group B,some college,standard,completed,69,66,53,D
male,group D,master's,standard,none,61,59,39,F
female,group C,associate's,free/reduced,completed,49,59,37,F
male,group E,bachelor's,standard,none,91,61,61,C
female,group A,bachelor's,standard,none,78,61,55,C
male,group B,high school,free/reduced,none,59,50,28,F
female,group C,some college,free/reduced,none,80,53,36,F
female,group B,bachelor's,free/reduced,completed,68,57,49,D
female,group D,some college,standard,completed,65,78,62,C
male,group D,bachelor's,standard,none,76,64,66,C
male,group B,master's,free/reduced,completed,58,66,47,D
male,group C,associate's,standard,completed,64,89,78,B
female,group C,bachelor's,standard,completed,71,89,62,C
female,group C,bachelor's,free/reduced,none,62,65,31,F
female,group E,bachelor's,standard,none,80,60,47,D
female,group D,some college,free/reduced,none,98,57,59,C
female,group D,some high school,standard,completed,58,80,71,B
male,group D,some college,standard,none,45,66,37,F
female,group C,associate's,standard,none,39,64,36,F
male,group E,some college,free/reduced,none,67,57,32,F
male,group D,bachelor's,standard,none,60,58,34,F
female,group D,some college,standard,completed,73,74,69,C
male,group D,associate's,free/reduced,completed,71,50,47,D
male,group B,high school,free/reduced,completed,45,84,49,D
female,group D,bachelor's,free/reduced,completed,42,61,30,F
male,group B,some college,standard,none,74,67,64,C
female,group C,high school,standard,none,72,49,43,D
male,group C,high school,free/reduced,none,63,69,46,D
male,group E,bachelor's,standard,none,45,65,33,F
male,group D,some college,standard,none,77,69,55,C
male,group D,high school,standard,completed,89,92,80,B
female,group D,doctorate,free/reduced,none,74,72,50,D
male,group C,bachelor's,standard,completed,57,58,52,D
female,group E,doctorate,free/reduced,none,70,59,44,D
male,group C,some college,standard,none,49,78,42,D
female,group C,some college,standard,none,85,89,68,C
female,group B,master's,standard,none,71,74,56,C
female,group D,some college,standard,none,43,80,48,D
male,group D,bachelor's,standard,none,65,79,56,C
male,group C,high school,standard,none,76,91,57,C
male,group A,some college,standard,none,65,40,32,F
female,group D,high school,free/reduced,none,65,80,34,F
male,group A,high school,free/reduced,completed,51,84,56,C
female,group D,some high school,free/reduced,completed,78,49,53,D
female,group E,some high school,standard,none,60,56,49,D
male,group C,doctorate,standard,completed,37,57,45,D
female,group B,high school,standard,completed,64,59,42,D
male,group D,associate's,free/reduced,completed,84,62,50,D
male,group D,bachelor's,free/reduced,none,64,73,45,D
female,group C,associate's,free/reduced,none,96,82,62,C
female,group E,high school,standard,completed,76,86,69,C
female,group A,bachelor's,standard,none,75,57,53,D
male,group C,associate's,standard,completed,68,57,56,C
male,group D,bachelor's,standard,completed,68,89,69,C
female,group D,bachelor's,standard,none,66,79,52,D
female,group B,doctorate,free/reduced,none,65,71,50,D
female,group D,associate's,standard,none,77,77,57,C
male,group C,high school,standard,none,55,69,39,F
female,group C,associate's,standard,none,53,77,45,D
male,group B,some high school,free/reduced,none,53,64,34,F
male,group D,master's,standard,none,100,74,73,B
female,group B,high school,free/reduced,none,77,47,39,F
male,group B,high school,free/reduced,completed,74,59,50,D
female,group B,bachelor's,standard,none,54,59,35,F
male,group D,associate's,standard,completed,79,64,67,C
male,group C,some college,standard,completed,68,56,51,D
female,group D,some college,standard,none,73,61,50,D
female,group B,master's,free/reduced,completed,55,47,47,D
female,group C,high school,free/reduced,none,72,78,53,D
female,group C,master's,standard,completed,63,68,48,D
female,group D,some high school,standard,none,58,44,28,F
female,group E,bachelor's,standard,none,81,57,52,D
female,group A,bachelor's,standard,none,46,75,39,F
male,group C,high school,standard,none,78,61,57,C
female,group A,some college,standard,none,80,59,53,D
male,group C,high school,standard,none,56,68,48,D
female,group B,bachelor's,free/reduced,none,57,75,38,F
female,group B,some college,standard,none,66,48,54,D
male,group C,associate's,standard,none,74,78,75,B
female,group C,high school,standard,none,67,57,45,D
female,group C,high school,free/reduced,none,76,69,50,D
male,group D,some high school,standard,none,96,69,64,C
female,group C,high school,standard,completed,62,62,54,D
female,group A,associate's,standard,none,44,54,32,F
male,group D,master's,free/reduced,completed,82,65,50,D
female,group B,associate's,standard,none,95,94,66,C
male,group C,some college,free/reduced,completed,75,49,50,D
female,group D,doctorate,free/reduced,none,53,95,46,D
female,group C,bachelor's,free/reduced,none,68,66,28,F
female,group A,master's,standard,none,53,70,49,D
male,group C,some college,standard,none,79,53,50,D
female,group E,high school,standard,none,49,58,48,D
female,group C,some high school,free/reduced,none,65,62,43,D
male,group C,bachelor's,standard,completed,54,54,40,D
female,group C,high school,standard,none,71,66,39,F
male,group B,high school,free/reduced,none,64,63,36,F
female,group C,some college,standard,completed,72,97,69,C
male,group D,associate's,standard,none,70,52,52,D
male,group B,associate's,standard,completed,55,71,56,C
male,group B,high school,standard,none,79,73,65,C
female,group B,some college,free/reduced,completed,69,53,38,F
male,group C,associate's,standard,none,55,80,57,C
female,group E,doctorate,standard,completed,100,64,75,B
male,group A,bachelor's,standard,completed,77,32,37,F
male,group C,master's,free/reduced,none,67,79,56,C
female,group B,bachelor's,free/reduced,none,91,53,48,D
female,group E,associate's,standard,none,97,54,60,C
male,group B,high school,standard,completed,67,80,59,C
female,group C,associate's,standard,none,75,64,61,C
female,group D,associate's,free/reduced,none,55,83,38,F
female,group D,associate's,standard,none,67,88,64,C
male,group C,some college,free/reduced,none,67,60,45,D
male,group C,some college,standard,none,72,81,53,D
female,group C,high school,standard,completed,74,58,70,B
male,group B,some college,standard,none,78,100,70,B
female,group B,high school,free/reduced,completed,73,59,54,D
female,group C,bachelor's,standard,none,51,85,43,D
female,group B,high school,free/reduced,none,55,82,57,C
female,group B,some high school,standard,none,61,74,44,D
female,group C,some college,standard,none,65,59,53,D
male,group E,associate's,standard,completed,85,67,60,C
female,group C,some college,free/reduced,completed,52,37,29,F
male,group A,high school,standard,none,64,73,57,C
male,group A,associate's,free/reduced,none,84,75,59,C
female,group E,high school,free/reduced,none,65,72,37,F
female,group B,master's,free/reduced,completed,76,25,44,D
female,group B,master's,standard,completed,67,51,59,C
female,group C,some college,free/reduced,completed,73,58,44,D
male,group C,high school,free/reduced,none,66,74,55,C
male,group C,bachelor's,standard,none,80,74,50,D
female,group B,some high school,standard,none,46,67,39,F
male,group A,some college,standard,none,64,79,58,C
male,group E,high school,standard,none,74,54,44,D
male,group B,master's,standard,none,78,79,62,C
male,group C,some high school,standard,none,92,77,67,C
male,group D,associate's,standard,completed,64,75,60,C
male,group C,bachelor's,standard,completed,92,67,74,B
male,group B,some college,standard,none,60,97,59,C
male,group B,some high school,standard,none,89,77,65,C
female,group C,doctorate,standard,none,82,55,59,C
male,group D,some college,standard,completed,56,73,62,C
male,group E,associate's,standard,completed,74,81,72,B
female,group B,high school,standard,completed,69,61,51,D
male,group B,some college,standard,completed,79,86,75,B
female,group E,some college,free/reduced,none,66,75,41,D
female,group D,some high school,standard,none,65,34,29,F
male,group D,high school,free/reduced,none,90,74,55,C
male,group B,bachelor's,standard,none,68,63,44,D
female,group C,high school,standard,completed,82,78,74,B
female,group D,high school,standard,none,66,84,62,C
male,group D,some college,standard,none,94,72,52,D
female,group C,bachelor's,free/reduced,none,59,94,46,D
male,group A,some high school,standard,completed,60,67,48,D
female,group C,associate's,standard,none,92,79,63,C
male,group B,high school,standard,completed,63,82,66,C
female,group C,some high school,standard,none,94,68,61,C
female,group E,some high school,free/reduced,none,83,81,52,D
female,group C,bachelor's,free/reduced,none,67,61,49,D
female,group D,high school,standard,completed,42,63,34,F
male,group B,some high school,standard,none,69,50,53,D
male,group C,some college,standard,completed,71,73,60,C
male,group E,bachelor's,free/reduced,none,87,74,53,D
male,group B,high school,standard,none,93,87,66,C
female,group A,some college,standard,completed,59,81,71,B
male,group C,some high school,free/reduced,none,82,65,41,D
male,group B,some college,standard,none,81,52,51,D
female,group D,associate's,standard,completed,86,76,73,B
female,group E,associate's,free/reduced,none,77,86,45,D
female,group C,high school,standard,completed,40,81,48,D
female,group B,high school,standard,none,67,86,58,C
male,group C,high school,standard,none,52,66,39,F
male,group D,some college,standard,none,66,63,44,D
female,group A,some high school,standard,completed,84,58,60,C
female,group C,bachelor's,free/reduced,none,74,69,51,D
male,group C,doctorate,standard,completed,87,68,65,C
female,group C,doctorate,free/reduced,completed,75,73,63,C
male,group B,master's,free/reduced,none,50,68,31,F
male,group D,associate's,standard,none,32,67,30,F
female,group B,bachelor's,standard,none,72,58,61,C
female,group B,high school,standard,none,66,84,54,D
female,group D,associate's,free/reduced,none,55,71,32,F
male,group D,some college,free/reduced,completed,44,67,31,F
female,group A,some college,standard,completed,58,58,58,C
male,group B,bachelor's,free/reduced,completed,67,50,42,D
male,group B,high school,standard,completed,79,89,71,B
female,group B,high school,free/reduced,completed,72,78,57,C
female,group B,master's,standard,none,94,45,59,C
female,group A,some high school,standard,completed,54,81,58,C
female,group C,some college,free/reduced,completed,83,83,78,B
female,group D,master's,standard,none,70,71,55,C
female,group C,associate's,standard,completed,80,93,81,B
male,group C,some college,standard,none,63,73,57,C
male,group B,high school,standard,completed,86,48,59,C
male,group E,high school,standard,completed,74,75,62,C
male,group D,master's,free/reduced,completed,59,73,52,D
female,group D,associate's,standard,none,69,60,52,D
female,group D,some college,standard,completed,66,78,60,C
male,group E,some high school,free/reduced,none,77,44,39,F
male,group C,some high school,standard,none,52,84,59,C
female,group B,doctorate,standard,completed,69,56,68,C
male,group C,some college,free/reduced,none,75,55,47,D
female,group D,associate's,free/reduced,completed,70,68,64,C
female,group D,some high school,standard,none,90,76,60,C
female,group C,associate's,free/reduced,none,81,72,55,C
female,group A,master's,standard,completed,69,58,64,C
female,group C,associate's,free/reduced,none,73,62,38,F
male,group E,high school,standard,none,74,53,45,D
female,group C,associate's,free/reduced,completed,76,66,65,C
female,group C,bachelor's,standard,none,42,86,43,D
male,group B,some college,free/reduced,completed,65,69,43,D
female,group C,master's,free/reduced,none,47,82,50,D
female,group D,associate's,free/reduced,none,89,91,69,C
female,group C,master's,standard,none,69,61,52,D
female,group D,associate's,standard,none,67,67,51,D
female,group C,high school,standard,none,83,100,68,C
female,group C,high school,free/reduced,none,76,91,58,C
female,group B,high school,standard,none,53,44,46,D
female,group D,master's,free/reduced,none,68,75,48,D
female,group C,bachelor's,free/reduced,none,64,70,56,C
female,group C,associate's,standard,none,43,82,42,D
female,group C,high school,free/reduced,none,59,58,36,F
male,group E,high school,standard,completed,67,57,53,D
female,group A,bachelor's,standard,completed,68,59,50,D
female,group D,some college,standard,completed,47,61,48,D
male,group B,high school,standard,none,87,82,68,C
female,group C,associate's,free/reduced,completed,68,52,49,D
male,group A,some high school,standard,completed,70,60,71,B
male,group B,high school,standard,completed,76,43,56,C
female,group C,some college,free/reduced,none,58,85,54,D
male,group A,high school,free/reduced,completed,76,89,64,C
female,group C,doctorate,standard,completed,64,65,67,C
female,group E,high school,free/reduced,completed,56,65,60,C
female,group B,high school,standard,none,78,76,62,C
male,group D,high school,standard,none,92,92,65,C
male,group C,bachelor's,standard,none,80,76,57,C
female,group C,some college,standard,none,83,59,56,C
female,group B,associate's,free/reduced,completed,62,45,43,D
female,group B,some high school,standard,none,46,53,41,D
male,group B,some high school,free/reduced,none,92,71,57,C
female,group A,some college,standard,none,100,60,62,C
female,group B,bachelor's,standard,none,93,72,60,C
female,group C,master's,free/reduced,none,64,61,42,D
male,group D,some high school,free/reduced,completed,52,54,51,D
female,group D,some college,standard,none,54,52,46,D
female,group D,master's,standard,none,44,93,56,C
female,group B,some college,standard,none,68,83,64,C
male,group B,bachelor's,standard,none,94,95,71,B
female,group B,high school,free/reduced,none,67,78,44,D
female,group B,master's,free/reduced,completed,74,63,48,D
male,group C,bachelor's,standard,completed,90,89,76,B
female,group C,master's,free/reduced,completed,63,69,48,D
female,group C,associate's,standard,completed,100,73,82,B
male,group C,some college,standard,none,99,69,62,C
male,group D,master's,standard,completed,68,25,38,F
female,group D,high school,standard,completed,61,94,79,B
male,group B,high school,standard,completed,80,77,66,C
female,group E,bachelor's,standard,none,64,74,54,D
male,group E,bachelor's,standard,completed,52,69,57,C
female,group B,master's,standard,completed,89,72,63,C
male,group C,high school,free/reduced,completed,88,61,65,C
female,group C,bachelor's,standard,none,72,79,62,C
female,group E,bachelor's,standard,completed,51,50,55,C
female,group D,some high school,free/reduced,completed,51,72,43,D
female,group B,some college,free/reduced,completed,71,78,58,C
male,group C,high school,free/reduced,none,62,67,41,D
female,group C,high school,standard,completed,64,75,63,C
male,group C,doctorate,standard,none,85,55,45,D
